年齢など,,本人の収入,,,,家族の収入,,,,その他,,,使う予定のお金,,,,,,,,,,,,3区分キャッシュフロー,,,,,,,,,毎年の収支,,,,,貯金の合計,,,
西暦,年齢,お給料,年金など,個人年金等,iDeCo等,お給料,年金など,個人年金等,iDeCo等,資金調達合計,児童手当,経常収入合計,基本生活費,火災保険等,学費など,車の買替等,趣味・他,趣味・他,家族関連,家ローン,将来の積立,保険料,税金・社保,支出合計,経常収入,経常支出,経常収支,臨時収入,臨時支出,臨時収支,資金調達(取崩),資金調達(移管),最終純増減,年間の残金,不定期な出費,実質の貯蓄,満期保険等,保険解約金,ふだん使い,予備のお金,運用の資金,その年の残高
2058,72,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,406.6084569806443,20.830351279746125,0,25,6,16.8,21.6,171.17387046053244,0,6,4.6508180800000005,678.6634968009229,305.3392,678.6634968009229,-373.32429680092287,0,0,0,0,0,-373.32429680092287,-373.32429680092287,0,-373.32429680092287,0,0,245.20979831195598,0,0,245.20979831195598
2059,73,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,410.6745415504508,21.03865479254359,0,25,6,16.8,21.6,171.17387046053696,0,6,4.6508180800000005,682.9378848835314,305.3392,682.9378848835314,-377.5986848835314,0,0,0,0,0,-377.5986848835314,-377.5986848835314,0,-377.5986848835314,0,0,-132.38888657157543,0,0,-132.38888657157543
2060,74,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,414.78128696595525,21.249041340469024,0,25,6,16.8,21.6,171.17387046054387,0,6,4.6508180800000005,687.2550168469683,305.3392,687.2550168469683,-381.91581684696826,0,0,0,0,0,-381.91581684696826,-381.91581684696826,0,-381.91581684696826,0,0,-514.3047034185437,0,0,-514.3047034185437
2061,75,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,418.92909983561486,21.461531753873714,0,25,6,16.8,21.6,171.17387046055626,0,6,4.6508180800000005,691.6153201300449,305.3392,691.6153201300449,-386.2761201300449,0,0,0,0,0,-386.2761201300449,-386.2761201300449,0,-386.2761201300449,0,0,-900.5808235485886,0,0,-900.5808235485886
2062,76,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,423.11839083397103,21.67614707141245,0,25,6,16.8,21.6,0,0,6,4.6508180800000005,524.8453559853835,305.3392,524.8453559853835,-219.50615598538354,0,0,0,0,0,-219.50615598538354,-219.50615598538354,0,-219.50615598538354,0,0,-1120.0869795339722,0,0,-1120.0869795339722
2063,77,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,427.34957474231066,21.892908542126577,0,25,6,16.8,21.6,0,0,6,4.6508180800000005,529.2933013644373,305.3392,529.2933013644373,-223.9541013644373,0,0,0,0,0,-223.9541013644373,-223.9541013644373,0,-223.9541013644373,0,0,-1344.0410808984095,0,0,-1344.0410808984095
2064,78,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,431.62307048973383,22.111837627547843,0,25,6,16.8,21.6,0,0,6,4.6508180800000005,533.7857261972817,305.3392,533.7857261972817,-228.44652619728174,0,0,0,0,0,-228.44652619728174,-228.44652619728174,0,-228.44652619728174,0,0,-1572.4876070956911,0,0,-1572.4876070956911
2065,79,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,435.9393011946311,22.33295600382332,0,25,6,16.8,21.6,0,0,6,4.6508180800000005,538.3230752784544,305.3392,538.3230752784544,-232.98387527845443,0,0,0,0,0,-232.98387527845443,-232.98387527845443,0,-232.98387527845443,0,0,-1805.4714823741456,0,0,-1805.4714823741456
2066,80,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,440.29869420657747,22.556285563861554,0,25,6,16.8,21.6,0,0,6,4.6508180800000005,542.9057978504391,305.3392,542.9057978504391,-237.56659785043905,0,0,0,0,0,-237.56659785043905,-237.56659785043905,0,-237.56659785043905,0,0,-2043.0380802245845,0,0,-2043.0380802245845
2067,81,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,444.7016811486433,22.78184841950017,0,105,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,603.5343476481435,305.3392,603.5343476481435,-298.19514764814346,0,0,0,0,0,-298.19514764814346,-298.19514764814346,0,-298.19514764814346,0,0,-2341.233227872728,0,0,-2341.233227872728
2068,82,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,449.1486979601297,23.009666903695173,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,528.2091829438249,305.3392,528.2091829438249,-222.86998294382488,0,0,0,0,0,-222.86998294382488,-222.86998294382488,0,-222.86998294382488,0,0,-2564.1032108165527,0,0,-2564.1032108165527
2069,83,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,453.640184939731,23.239763572732127,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,532.9307665924631,305.3392,532.9307665924631,-227.5915665924631,0,0,0,0,0,-227.5915665924631,-227.5915665924631,0,-227.5915665924631,0,0,-2791.694777409016,0,0,-2791.694777409016
2070,84,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,458.1765867891283,23.472161208459443,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,537.6995660775877,305.3392,537.6995660775877,-232.36036607758774,0,0,0,0,0,-232.36036607758774,-232.36036607758774,0,-232.36036607758774,0,0,-3024.055143486604,0,0,-3024.055143486604
2071,85,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,462.75835265701954,23.70688282054404,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,542.5160535575635,305.3392,542.5160535575635,-237.1768535575635,0,0,0,0,0,-237.1768535575635,-237.1768535575635,0,-237.1768535575635,0,0,-3261.231997044167,0,0,-3261.231997044167
2072,86,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,467.3859361835898,23.94395164874948,0,40,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,562.3807059123393,305.3392,562.3807059123393,-257.0415059123393,0,0,0,0,0,-257.0415059123393,-257.0415059123393,0,-257.0415059123393,0,0,-3518.2735029565065,0,0,-3518.2735029565065
2073,87,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,472.0597955454257,24.183391165236976,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,552.2940047906627,305.3392,552.2940047906627,-246.9548047906627,0,0,0,0,0,-246.9548047906627,-246.9548047906627,0,-246.9548047906627,0,0,-3765.2283077471693,0,0,-3765.2283077471693
2074,88,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,476.78039350087994,24.425225076889344,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,557.2564366577692,305.3392,557.2564366577692,-251.9172366577692,0,0,0,0,0,-251.9172366577692,-251.9172366577692,0,-251.9172366577692,0,0,-4017.1455444049384,0,0,-4017.1455444049384
2075,89,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,481.54819743588877,24.66947732765824,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,562.2684928435469,305.3392,562.2684928435469,-256.92929284354693,0,0,0,0,0,-256.92929284354693,-256.92929284354693,0,-256.92929284354693,0,0,-4274.074837248485,0,0,-4274.074837248485
2076,90,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,486.3636794102477,24.916172100934823,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,567.3306695911825,305.3392,567.3306695911825,-261.9914695911825,0,0,0,0,0,-261.9914695911825,-261.9914695911825,0,-261.9914695911825,0,0,-4536.066306839668,0,0,-4536.066306839668
2077,91,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,491.22731620435013,25.16533382194417,0,105,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,652.4434681062943,305.3392,652.4434681062943,-347.1042681062943,0,0,0,0,0,-347.1042681062943,-347.1042681062943,0,-347.1042681062943,0,0,-4883.1705749459625,0,0,-4883.1705749459625
2078,92,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,496.13958936639364,25.41698716016361,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,577.6073946065572,305.3392,577.6073946065572,-272.26819460655724,0,0,0,0,0,-272.26819460655724,-272.26819460655724,0,-272.26819460655724,0,0,-5155.43876955252,0,0,-5155.43876955252
2079,93,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,501.10098526005754,25.671157031765247,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,582.8229603718228,305.3392,582.8229603718228,-277.48376037182277,0,0,0,0,0,-277.48376037182277,-277.48376037182277,0,-277.48376037182277,0,0,-5432.922529924343,0,0,-5432.922529924343
2080,94,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,506.1119951126582,25.927868602082903,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,588.090681794741,305.3392,588.090681794741,-282.75148179474104,0,0,0,0,0,-282.75148179474104,-282.75148179474104,0,-282.75148179474104,0,0,-5715.674011719084,0,0,-5715.674011719084
2081,95,0,182.1696,0,0,0,123.1696,0,0,0,0,305.3392,511.17311506378473,26.18714728810373,0,25,6,16.8,3.5999999999999996,0,0,0,4.6508180800000005,593.4110804318884,305.3392,593.4110804318884,-288.0718804318884,0,0,0,0,0,-288.0718804318884,-288.0718804318884,0,-288.0718804318884,0,0,-6003.745892150972,0,0,-6003.745892150972
